phase,episode,step,policy,event,reward,critical_error,review_targets,review_rate,movement_mm,distance_error_mm,total_distance_mm,mean_distance_error_mm
evaluate,0,1,route_planning,target_step,8.923889507254472,0,0,0.0,107.61104927455273,0.5400269558243743,107.61104927455273,0.5400269558243743
evaluate,0,2,route_planning,target_step,9.64462086604621,0,0,0.0,35.537913395378965,0.5243946522346902,143.14896266993168,0.5322108040295322
evaluate,0,3,route_planning,target_step,9.862315593861322,0,0,0.0,13.768440613867826,0.6557712575262215,156.9174032837995,0.573397621861762
evaluate,0,4,route_planning,target_step,9.796007170983902,0,0,0.0,20.399282901609727,0.849954719055124,177.31668618540922,0.6425368961601026
evaluate,0,5,route_planning,target_step,9.558876459874927,0,0,0.0,44.11235401250733,0.175787829015278,221.42904019791655,0.5491870827311376
evaluate,0,6,route_planning,target_step,9.91540998600215,0,0,0.0,8.459001399785123,0.7171394754715316,229.88804159770166,0.57717914818787
evaluate,0,7,route_planning,target_step,9.277556802869716,0,0,0.0,72.24431971302832,2.1333398001193564,302.13236131072995,0.7994878127495108
evaluate,0,8,route_planning,target_step,9.921577542477964,0,0,0.0,7.842245752203588,1.139032423392453,309.97460706293356,0.8419308890798786
evaluate,0,9,route_planning,target_step,8.265844411413719,0,0,0.0,173.41555885862817,0.6007399370744991,483.39016592156173,0.8151318944126141
evaluate,0,10,route_planning,target_step,9.653372852066058,0,0,0.0,34.6627147933943,0.5857361990634519,518.052880714956,0.7921923248776979
evaluate,0,11,route_planning,target_step,9.266351963482071,0,0,0.0,73.36480365179295,1.9903154269846535,591.417684366749,0.9011126068874211
evaluate,0,12,route_planning,target_step,9.35643958216917,0,0,0.0,64.35604178308299,1.0741621718637748,655.773726149832,0.9155334039687838
evaluate,0,13,route_planning,target_step,9.88907804861836,0,0,0.0,11.09219513816391,0.961939256286508,666.8659212879959,0.9191030849163011
evaluate,0,14,route_planning,target_step,9.442420396522825,0,0,0.0,55.75796034771753,0.2604280053218485,722.6238816357134,0.8720548649452687
evaluate,0,15,route_planning,target_step,8.998467865234453,0,0,0.0,100.15321347655481,0.6125712063961624,822.7770951122682,0.8547559543753283
evaluate,0,16,route_planning,target_step,9.629394675384045,0,0,0.0,37.06053246159556,0.6341548281304343,859.8376275738638,0.8409683839850224
evaluate,0,17,route_planning,target_step,9.263091056164042,0,0,0.0,73.69089438359583,1.8633625770844013,933.5285219574596,0.9011092188732212
evaluate,0,18,route_planning,target_step,7.385542400586054,0,0,0.0,261.44575994139456,0.4529808018938642,1194.974281898854,0.8762131957077013
evaluate,0,19,route_planning,target_step,9.780255252542934,0,0,0.0,21.9744747457065,0.7661707847226963,1216.9487566445605,0.8704214898663851
evaluate,0,20,route_planning,target_step,7.410756462195547,0,0,0.0,258.9243537804453,1.808624928707066,1475.8731104250057,0.9173316618084192
