registry,registry_ok,model_id,model_type,framework,artifact_uri,config_uri,metrics_uri,dataset_version,ontology_version,input_schema,output_schema,status,safety_level,calibration_requirements,tags
configs\registry\model_registry_v0_1.yaml,True,baseline_green_detector_v0,detector,opencv,baseline://green,configs/registry/models_v0_1.yaml,reports/experiment_summary/object_level_results.csv,zks_v0_1,ontology_v0_1,ImageInputV1,DetectionResultV1,draft,offline_only,"{""required"": false}","baseline,hsv,cpu"
configs\registry\model_registry_v0_1.yaml,True,route_planning_policy_v0,policy,seedling_decision,builtin://seedling_decision.policies.RoutePlanningPolicy,configs/registry/policies_v0_1.yaml,reports/scenario_compare/scenario_compare.json,,,SceneState,ActionPlan,draft,dry_run,"{""coordinate_frame"": ""robot_mm"", ""required"": true}","baseline,route_planning,tsp_like"
configs\registry\model_registry_v0_1.yaml,True,maskable_ppo_v0_seed42,rl_policy,sb3_contrib,runs/rl/maskable_ppo_v0_seed42/model.zip,configs/rl/maskable_ppo_v0.yaml,runs/rl/eval/rl_eval_metrics.json,,,SeedlingTrayEnvObservationV1,ActionIndexV1,draft,simulation_only,"{""allowed_modes"": [""simulation_only"", ""dry_run""], ""required"": true}","rl,maskable_ppo"
configs\registry\model_registry_v0_1.yaml,True,recurrent_ppo_v0_seed42,rl_policy,sb3_contrib,runs/rl/recurrent_ppo_v0_seed42/model.zip,configs/rl/recurrent_ppo_v0.yaml,runs/rl/recurrent_eval/rl_eval_metrics.json,,,SeedlingTrayEnvObservationV1,ActionIndexV1,draft,simulation_only,"{""allowed_modes"": [""simulation_only"", ""dry_run""], ""required"": true}","rl,recurrent_ppo,partial_observability"
