artifact,mode,policy,episodes,reward_mean,critical_error_rate,successful_target_rate,review_rate,actions_per_tray
reports\unified_rl_baselines.json,evaluate-baselines,noop,1,-5.0,0.0,0.0,0.0,1.0
reports\unified_rl_baselines.json,evaluate-baselines,raster_scan,1,182.42446502092807,0.0,1.0,0.0,20.0
reports\unified_rl_baselines.json,evaluate-baselines,nearest_neighbor,1,185.2412688957499,0.0,1.0,0.0,20.0
reports\unified_rl_baselines.json,evaluate-baselines,route_planning,1,185.2412688957499,0.0,1.0,0.0,20.0
reports\unified_rl_baselines.json,evaluate-baselines,risk_aware_rule,1,182.42446502092807,0.0,1.0,0.0,20.0
