run_id,command,run_dir,artifact_type,role,path,sha256,bytes
ui_snapshot_smoke_seedling_ui_report_export_tray_report,seedling-ui:report-export,reports\ui_snapshot_smoke,scene_state,input,reports\software_readiness_smoke\scene_state.json,723c0322ded79afe3a59d94ba489350d3bd7842f72d947b3ae8f1685298184b6,2077
ui_snapshot_smoke_seedling_ui_report_export_tray_report,seedling-ui:report-export,reports\ui_snapshot_smoke,html_report,output,reports\ui_snapshot_smoke\tray_report.html,ba5b14ff5500712ad9005ae10c01224f93ea79317fa8754b3e4d15156a86d872,1749
ui_snapshot_smoke_seedling_ui_report_export_tray_report,seedling-ui:report-export,reports\ui_snapshot_smoke,tray_report.run_snapshot,output,reports\ui_snapshot_smoke\tray_report.run_snapshot.json,68804f26e3b0a89eb8e96e4b8021082f0c362b65946a56bf3c23902a88bdcc77,1755
